,tweet,text_cleaned,text_normal,text_tokenize,text_stemming,text_filtering
231,"Imigrasi Bantah KUHP Mengganggu Iklim Pariwisata https://t.co/eXvlKdZdBf 

@Kemenkumham_RI @bhp_semarang… https://t.co/VQ8RgOkJ1k",imigrasi bantah kuhp mengganggu iklim pariwisata cowok exvlkdzdbf kemenkumham_ri bhp_semarang cowok vqrgokjk,imigrasi bantah kuhp mengganggu iklim pariwisata cowok exvlkdzdbf kemenkumham_ri bhp_semarang cowok vqrgokjk,"['imigrasi', 'bantah', 'kuhp', 'mengganggu', 'iklim', 'pariwisata', 'cowok', 'exvlkdzdbf', 'kemenkumham_ri', 'bhp_semarang', 'cowok', 'vqrgokjk']","['imigrasi', 'bantah', 'kuhp', 'ganggu', 'iklim', 'pariwisata', 'cowok', 'exvlkdzdbf', 'kemenkumham ri', 'bhp semarang', 'cowok', 'vqrgokjk']","['imigrasi', 'bantah', 'kuhp', 'ganggu', 'iklim', 'pariwisata', 'cowok', 'exvlkdzdbf', 'kemenkumham ri', 'bhp semarang', 'cowok', 'vqrgokjk']"
232,"Kumpul Kebo di KUHP, Turis Australia Jangan Khawatir https://t.co/MR3CuzXOuy 

@Kemenkumham_RI @bhp_semarang… https://t.co/p6tXLTvsFu",kumpul kebo di kuhp turis australia jangan khawatir cowok mrcuzxouy kemenkumham_ri bhp_semarang cowok ptxltvsfu,kumpul kebo di kuhp turis australia jangan khawatir cowok mrcuzxouy kemenkumham_ri bhp_semarang cowok ptxltvsfu,"['kumpul', 'kebo', 'di', 'kuhp', 'turis', 'australia', 'jangan', 'khawatir', 'cowok', 'mrcuzxouy', 'kemenkumham_ri', 'bhp_semarang', 'cowok', 'ptxltvsfu']","['kumpul', 'kebo', 'di', 'kuhp', 'turis', 'australia', 'jangan', 'khawatir', 'cowok', 'mrcuzxouy', 'kemenkumham ri', 'bhp semarang', 'cowok', 'ptxltvsfu']","['kumpul', 'kebo', 'kuhp', 'turis', 'australia', 'khawatir', 'cowok', 'mrcuzxouy', 'kemenkumham ri', 'bhp semarang', 'cowok', 'ptxltvsfu']"
233,"Pasal 324-327 KUHP Tentang Perdagangan Orang &amp; Penjelasan https://t.co/RuoPkEjwRF 

@Kemenkumham_RI @bhp_semarang… https://t.co/UExGRqpwqF",pasal kuhp tentang perdagangan orang amp penjelasan cowok ruopkejwrf kemenkumham_ri bhp_semarang cowok uexgrqpwqf,pasal kuhp tentang perdagangan orang amp penjelasan cowok ruopkejwrf kemenkumham_ri bhp_semarang cowok uexgrqpwqf,"['pasal', 'kuhp', 'tentang', 'perdagangan', 'orang', 'amp', 'penjelasan', 'cowok', 'ruopkejwrf', 'kemenkumham_ri', 'bhp_semarang', 'cowok', 'uexgrqpwqf']","['pasal', 'kuhp', 'tentang', 'dagang', 'orang', 'amp', 'jelas', 'cowok', 'ruopkejwrf', 'kemenkumham ri', 'bhp semarang', 'cowok', 'uexgrqpwqf']","['pasal', 'kuhp', 'dagang', 'orang', 'amp', 'cowok', 'ruopkejwrf', 'kemenkumham ri', 'bhp semarang', 'cowok', 'uexgrqpwqf']"
234,"UU KUHP Tak Pengaruhi Kedatangan WNA untuk Wisata, Bisnis dan Investasi di Indonesia https://t.co/zaGAd60mYX… https://t.co/nQmoi4S0NA",uu kuhp tidak pengaruhi kedatangan wna untuk wisata bisnis dan investasi di indonesia cowok zagadmyx cowok nqmoisna,uu kuhp tidak pengaruhi kedatangan wna untuk wisata bisnis dan investasi di indonesia cowok zagadmyx cowok nqmoisna,"['uu', 'kuhp', 'tidak', 'pengaruhi', 'kedatangan', 'wna', 'untuk', 'wisata', 'bisnis', 'dan', 'investasi', 'di', 'indonesia', 'cowok', 'zagadmyx', 'cowok', 'nqmoisna']","['uu', 'kuhp', 'tidak', 'pengaruh', 'datang', 'wna', 'untuk', 'wisata', 'bisnis', 'dan', 'investasi', 'di', 'indonesia', 'cowok', 'zagadmyx', 'cowok', 'nqmoisna']","['uu', 'kuhp', 'pengaruh', 'wna', 'wisata', 'bisnis', 'investasi', 'indonesia', 'cowok', 'zagadmyx', 'cowok', 'nqmoisna']"
235,"KSP Sebut Pengesahan RKUHP
#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri… https://t.co/8FvfRXRlgA",ksp sebut pengesahan rkuhp jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri cowok fvfrxrlga,ksp sebut pengesahan rkuhp jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri cowok fvfrxrlga,"['ksp', 'sebut', 'pengesahan', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'fvfrxrlga']","['ksp', 'sebut', 'kesah', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'fvfrxrlga']","['ksp', 'kesah', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'fvfrxrlga']"
236,"Mendukung KUHP Baru Buatan Anak Bangsa https://t.co/vhhw2ACnSt 

@Kemenkumham_RI @bhp_semarang #bhpsemarang… https://t.co/uNZJukK5WC",mendukung kuhp baru buatan anak bangsa cowok vhhwacnst kemenkumham_ri bhp_semarang bhpsemarang cowok unzjukkwc,mendukung kuhp baru buatan anak bangsa cowok vhhwacnst kemenkumham_ri bhp_semarang bhpsemarang cowok unzjukkwc,"['mendukung', 'kuhp', 'baru', 'buatan', 'anak', 'bangsa', 'cowok', 'vhhwacnst', 'kemenkumham_ri', 'bhp_semarang', 'bhpsemarang', 'cowok', 'unzjukkwc']","['dukung', 'kuhp', 'baru', 'buat', 'anak', 'bangsa', 'cowok', 'vhhwacnst', 'kemenkumham ri', 'bhp semarang', 'bhpsemarang', 'cowok', 'unzjukkwc']","['dukung', 'kuhp', 'anak', 'bangsa', 'cowok', 'vhhwacnst', 'kemenkumham ri', 'bhp semarang', 'bhpsemarang', 'cowok', 'unzjukkwc']"
237,"Imigrasi KUHP Tak Pengaruhi Kunjungan Wisatawan https://t.co/MABzpMPsZ7 

@Kemenkumham_RI @bhp_semarang… https://t.co/lJMVhpIo6B",imigrasi kuhp tidak pengaruhi kunjungan wisatawan cowok mabzpmpsz kemenkumham_ri bhp_semarang cowok ljmvhpiob,imigrasi kuhp tidak pengaruhi kunjungan wisatawan cowok mabzpmpsz kemenkumham_ri bhp_semarang cowok ljmvhpiob,"['imigrasi', 'kuhp', 'tidak', 'pengaruhi', 'kunjungan', 'wisatawan', 'cowok', 'mabzpmpsz', 'kemenkumham_ri', 'bhp_semarang', 'cowok', 'ljmvhpiob']","['imigrasi', 'kuhp', 'tidak', 'pengaruh', 'kunjung', 'wisatawan', 'cowok', 'mabzpmpsz', 'kemenkumham ri', 'bhp semarang', 'cowok', 'ljmvhpiob']","['imigrasi', 'kuhp', 'pengaruh', 'kunjung', 'wisatawan', 'cowok', 'mabzpmpsz', 'kemenkumham ri', 'bhp semarang', 'cowok', 'ljmvhpiob']"
238,"KUHP bagi Turis, Tanggapan Menparekraf https://t.co/eBiovOV4kI 

@Kemenkumham_RI @bhp_semarang #bhpsemarang… https://t.co/Y8olNzdjhG",kuhp bagi turis tanggapan menparekraf cowok ebiovovki kemenkumham_ri bhp_semarang bhpsemarang cowok yolnzdjhg,kuhp bagi turis tanggapan menparekraf cowok ebiovovki kemenkumham_ri bhp_semarang bhpsemarang cowok yolnzdjhg,"['kuhp', 'bagi', 'turis', 'tanggapan', 'menparekraf', 'cowok', 'ebiovovki', 'kemenkumham_ri', 'bhp_semarang', 'bhpsemarang', 'cowok', 'yolnzdjhg']","['kuhp', 'bagi', 'turis', 'tanggap', 'menparekraf', 'cowok', 'ebiovovki', 'kemenkumham ri', 'bhp semarang', 'bhpsemarang', 'cowok', 'yolnzdjhg']","['kuhp', 'turis', 'tanggap', 'menparekraf', 'cowok', 'ebiovovki', 'kemenkumham ri', 'bhp semarang', 'bhpsemarang', 'cowok', 'yolnzdjhg']"
239,"KSP sebut pengesahan RKUHP sempurnakan tata regulasi hukum

#JokowiPresidenku
#PembangunanUntukRakyat… https://t.co/QvNLnLP2PD",ksp sebut pengesahan rkuhp sempurnakan tata regulasi hukum jokowipresidenku pembangunanuntukrakyat cowok qvnlnlppd,ksp sebut pengesahan rkuhp sempurnakan tata regulasi hukum jokowipresidenku pembangunanuntukrakyat cowok qvnlnlppd,"['ksp', 'sebut', 'pengesahan', 'rkuhp', 'sempurnakan', 'tata', 'regulasi', 'hukum', 'jokowipresidenku', 'pembangunanuntukrakyat', 'cowok', 'qvnlnlppd']","['ksp', 'sebut', 'kesah', 'rkuhp', 'sempurna', 'tata', 'regulasi', 'hukum', 'jokowipresidenku', 'pembangunanuntukrakyat', 'cowok', 'qvnlnlppd']","['ksp', 'kesah', 'rkuhp', 'sempurna', 'tata', 'regulasi', 'hukum', 'jokowipresidenku', 'pembangunanuntukrakyat', 'cowok', 'qvnlnlppd']"
240,"KSP sebut pengesahan RKUHP

#JokowiPresidenku
#PembangunanUntukRakyat
#PresidenJokowiHebat
#JokowiMembangunNegeri… https://t.co/m9E8QOb9Ad",ksp sebut pengesahan rkuhp jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri cowok meqobad,ksp sebut pengesahan rkuhp jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri cowok meqobad,"['ksp', 'sebut', 'pengesahan', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'meqobad']","['ksp', 'sebut', 'kesah', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'meqobad']","['ksp', 'kesah', 'rkuhp', 'jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'cowok', 'meqobad']"
